"id","herbarium_id","archive_filename","specimen_id","width","height","archive_file_size","jp2file_size","finalized","created_at","jp2filename","message"
"22490","1","prc_469658.tif","469658","9491","13373","380833816","7978691","1","2024-07-08 14:56:41","prc_469658.jp2",NULL
"22491","1","prc_469659.tif","469659","9491","13373","380833816","14115286","1","2024-07-08 14:56:41","prc_469659.jp2",NULL
"22492","1","prc_469660.tif","469660","9491","13373","380833816","9030898","1","2024-07-08 14:56:41","prc_469660.jp2",NULL
"22493","1","prc_469661.tif","469661","9491","13373","380833816","10728625","1","2024-07-08 14:56:41","prc_469661.jp2",NULL
"22494","1","prc_469662.tif","469662","9491","13373","380833816","7670438","1","2024-07-08 14:56:41","prc_469662.jp2",NULL
"22495","1","prc_469663.tif","469663","9491","13373","380833816","8394176","1","2024-07-08 14:56:41","prc_469663.jp2",NULL
"22496","1","prc_469664.tif","469664","9491","13373","380833816","9077984","1","2024-07-08 14:56:41","prc_469664.jp2",NULL
"22497","1","prc_469665.tif","469665","9491","13373","380833816","12144510","1","2024-07-08 14:56:41","prc_469665.jp2",NULL
"22498","1","prc_469666.tif","469666","9491","13373","380833816","10306607","1","2024-07-08 14:56:41","prc_469666.jp2",NULL
"22499","1","prc_469667.tif","469667","9491","13373","380833816","7098330","1","2024-07-08 14:56:41","prc_469667.jp2",NULL
"22500","1","prc_469668.tif","469668","9107","12942","353652256","4813474","1","2024-07-08 14:56:41","prc_469668.jp2",NULL
"22501","1","prc_469669.tif","469669","9283","13341","371596456","14655440","1","2024-07-08 14:56:41","prc_469669.jp2",NULL
"22502","1","prc_469670.tif","469670","9283","13341","371596456","8668020","1","2024-07-08 14:56:41","prc_469670.jp2",NULL
"22503","1","prc_469671.tif","469671","9283","13325","371150872","10165269","1","2024-07-08 14:56:41","prc_469671.jp2",NULL
"22504","1","prc_469672.tif","469672","9283","13341","371596456","7853238","1","2024-07-08 14:56:41","prc_469672.jp2",NULL
"22505","1","prc_469673.tif","469673","9475","13421","381555832","11359968","1","2024-07-08 14:56:41","prc_469673.jp2",NULL
"22506","1","prc_469674.tif","469674","9475","13421","381555832","11000478","1","2024-07-08 14:56:41","prc_469674.jp2",NULL
"22507","1","prc_469675.tif","469675","9475","13421","381555832","17765511","1","2024-07-08 14:56:41","prc_469675.jp2",NULL
"22508","1","prc_469676.tif","469676","9475","13421","381555832","8182630","1","2024-07-08 14:56:41","prc_469676.jp2",NULL
"22509","1","prc_469677.tif","469677","9475","13421","381555832","9238963","1","2024-07-08 14:56:41","prc_469677.jp2",NULL
"22510","1","prc_469678.tif","469678","9475","13421","381555832","15510249","1","2024-07-08 14:56:41","prc_469678.jp2",NULL
"22511","1","prc_469679.tif","469679","9443","13389","379360888","17125499","1","2024-07-08 14:56:41","prc_469679.jp2",NULL
"22512","1","prc_469680.tif","469680","9443","13389","379360888","15005662","1","2024-07-08 14:56:41","prc_469680.jp2",NULL
"22513","1","prc_469681.tif","469681","9443","13389","379360888","15413702","1","2024-07-08 14:56:41","prc_469681.jp2",NULL
"22514","1","prc_469682.tif","469682","9443","13389","379360888","18003065","1","2024-07-08 14:56:41","prc_469682.jp2",NULL
"22515","1","prc_469683.tif","469683","9443","13389","379360888","12987236","1","2024-07-08 14:56:41","prc_469683.jp2",NULL
"22516","1","prc_469684.tif","469684","9443","13389","379360888","13480193","1","2024-07-08 14:56:41","prc_469684.jp2",NULL
"22517","1","prc_469685.tif","469685","9443","13389","379360888","9577799","1","2024-07-08 14:56:41","prc_469685.jp2",NULL
"22518","1","prc_469686.tif","469686","9443","13389","379360888","9690205","1","2024-07-08 14:56:41","prc_469686.jp2",NULL
"22519","1","prc_469701.tif","469701","9155","12942","355515904","8189973","1","2024-07-08 14:56:41","prc_469701.jp2",NULL
"22520","1","prc_469702.tif","469702","9443","13389","379360888","4868100","1","2024-07-08 14:56:41","prc_469702.jp2",NULL
"22521","1","prc_469703.tif","469703","9443","13389","379360888","10933982","1","2024-07-08 14:56:41","prc_469703.jp2",NULL
"22522","1","prc_469704.tif","469704","9443","13389","379360888","8106480","1","2024-07-08 14:56:41","prc_469704.jp2",NULL
"22523","1","prc_469705.tif","469705","9443","13389","379360888","7776439","1","2024-07-08 14:56:41","prc_469705.jp2",NULL
"22524","1","prc_469706.tif","469706","9443","13389","379360888","11353219","1","2024-07-08 14:56:41","prc_469706.jp2",NULL
"22525","1","prc_469707.tif","469707","9443","13389","379360888","9605650","1","2024-07-08 14:56:41","prc_469707.jp2",NULL
"22526","1","prc_469708.tif","469708","9443","13389","379360888","8887517","1","2024-07-08 14:56:41","prc_469708.jp2",NULL
"22527","1","prc_469709.tif","469709","9443","13389","379360888","9765978","1","2024-07-08 14:56:41","prc_469709.jp2",NULL
"22528","1","prc_469710.tif","469710","9443","13389","379360888","5450643","1","2024-07-08 14:56:41","prc_469710.jp2",NULL
"22529","1","prc_469711.tif","469711","9443","13389","379360888","10404138","1","2024-07-08 14:56:41","prc_469711.jp2",NULL
"22530","1","prc_469712.tif","469712","9443","13389","379360888","6651776","1","2024-07-08 14:56:41","prc_469712.jp2",NULL
"22531","1","prc_469713.tif","469713","9443","13389","379360888","12138218","1","2024-07-08 14:56:41","prc_469713.jp2",NULL
"22532","1","prc_469714.tif","469714","9443","13389","379360888","11789889","1","2024-07-08 14:56:41","prc_469714.jp2",NULL
"22533","1","prc_469715.tif","469715","9443","13389","379360888","12760914","1","2024-07-08 14:56:41","prc_469715.jp2",NULL
"22534","1","prc_469716.tif","469716","9443","13389","379360888","10025098","1","2024-07-08 14:56:41","prc_469716.jp2",NULL
"22535","1","prc_469717.tif","469717","9443","13389","379360888","14184188","1","2024-07-08 14:56:41","prc_469717.jp2",NULL
"22536","1","prc_469718.tif","469718","9443","13389","379360888","12308145","1","2024-07-08 14:56:41","prc_469718.jp2",NULL
"22537","1","prc_469719.tif","469719","9443","13389","379360888","11462222","1","2024-07-08 14:56:41","prc_469719.jp2",NULL
"22538","1","prc_469720.tif","469720","9443","13389","379360888","10534995","1","2024-07-08 14:56:41","prc_469720.jp2",NULL
"22539","1","prc_469721.tif","469721","9443","13389","379360888","5829786","1","2024-07-08 14:56:41","prc_469721.jp2",NULL
"22540","1","prc_469722.tif","469722","9443","13389","379360888","5459723","1","2024-07-08 14:56:41","prc_469722.jp2",NULL
"22541","1","prc_469723.tif","469723","9443","13389","379360888","20441387","1","2024-07-08 14:56:41","prc_469723.jp2",NULL
"22542","1","prc_469724.tif","469724","9443","13389","379360888","8314189","1","2024-07-08 14:56:41","prc_469724.jp2",NULL
"22543","1","prc_469725.tif","469725","9443","13389","379360888","7834495","1","2024-07-08 14:56:41","prc_469725.jp2",NULL
"22544","1","prc_469726.tif","469726","9443","13389","379360888","8068473","1","2024-07-08 14:56:41","prc_469726.jp2",NULL
"22545","1","prc_469727.tif","469727","9443","13389","379360888","6551539","1","2024-07-08 14:56:41","prc_469727.jp2",NULL
"22546","1","prc_469728.tif","469728","9443","13389","379360888","5654914","1","2024-07-08 14:56:41","prc_469728.jp2",NULL
"22547","1","prc_469743.tif","469743","9443","13389","379360888","8360880","1","2024-07-08 14:56:41","prc_469743.jp2",NULL
"22548","1","prc_469744.tif","469744","9443","13389","379360888","7932678","1","2024-07-08 14:56:41","prc_469744.jp2",NULL
"22549","1","prc_469745.tif","469745","9443","13389","379360888","10496842","1","2024-07-08 14:56:41","prc_469745.jp2",NULL
"22550","1","prc_469746.tif","469746","9443","13389","379360888","12447059","1","2024-07-08 14:56:41","prc_469746.jp2",NULL
"22551","1","prc_469747.tif","469747","9443","13389","379360888","6804003","1","2024-07-08 14:56:41","prc_469747.jp2",NULL
"22552","1","prc_469748.tif","469748","9443","13389","379360888","7126701","1","2024-07-08 14:56:41","prc_469748.jp2",NULL
"22553","1","prc_469749.tif","469749","9443","13389","379360888","11020113","1","2024-07-08 14:56:41","prc_469749.jp2",NULL
"22554","1","prc_469750.tif","469750","9443","13389","379360888","16658119","1","2024-07-08 14:56:41","prc_469750.jp2",NULL
